Client_Num,Card_Category,Annual_Fees,Gender,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Current Week Revenue,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use Chip,Exp Type,Spending by Category,Interest_Earned,Delinquent_Acc
708082083,Blue,200,Female,0,87,01-01-2023,Week-1,Q1,2023,3544,835767,1661,15149,111,0.469,Chip ,Travel,4999538,4393.21,0
708083283,Blue,445,Female,1,108,01-01-2023,Week-1,Q1,2023,3421,835767,2517,992,21,0.736,Swipe ,Entertainment,7821312,69.44,0
708084558,Blue,140,Female,0,106,01-01-2023,Week-1,Q1,2023,8258,835767,1771,1447,23,0.214,Chip ,Bills,11166448,202.58,0
708085458,Blue,250,Male,1,150,01-01-2023,Week-1,Q1,2023,1438,835767,0,3940,82,0,Online ,Grocery,7032033,236.4,0
708086958,Blue,320,Male,1,106,01-01-2023,Week-1,Q1,2023,3128,835767,749,4369,59,0.239,Swipe ,Fuel,7705253,1004.87,1
708095133,Blue,100,Female,0,94,01-01-2023,Week-1,Q1,2023,33304,835767,1833,1448,29,0.055,Swipe ,Bills,11166448,275.12,0
708098133,Blue,225,Female,1,75,01-01-2023,Week-1,Q1,2023,2834,835767,1418,1598,39,0.5,Swipe ,Bills,11166448,159.8,1
708099183,Blue,400,Female,1,75,01-01-2023,Week-1,Q1,2023,5723,835767,1873,2732,63,0.327,Swipe ,Grocery,7032033,409.8,0
708100533,Blue,200,Male,1,64,01-01-2023,Week-1,Q1,2023,2679,835767,2277,4943,85,0.85,Chip ,Food,6808437,988.6,0
708103608,Platinum,95,Female,1,80,01-01-2023,Week-1,Q1,2023,11898,835767,2517,15798,128,0.212,Chip ,Grocery,7032033,3791.52,0
708104658,Blue,455,Female,1,118,01-01-2023,Week-1,Q1,2023,1438,835767,890,2928,48,0.619,Swipe ,Fuel,7705253,732,0
708108333,Blue,485,Female,0,86,01-01-2023,Week-1,Q1,2023,5590,835767,0,1507,32,0,Swipe ,Entertainment,7821312,150.7,0
708112008,Blue,440,Female,1,86,01-01-2023,Week-1,Q1,2023,23510,835767,1049,1661,35,0.045,Swipe ,Grocery,7032033,465.08,0
708113208,Blue,300,Male,1,149,01-01-2023,Week-1,Q1,2023,1688,835767,0,4375,69,0,Chip ,Fuel,7705253,525,0
708117933,Blue,360,Female,0,70,01-01-2023,Week-1,Q1,2023,1880,835767,0,2469,34,0,Chip ,Bills,11166448,419.73,1
708119658,Blue,340,Female,0,44,01-01-2023,Week-1,Q1,2023,12836,835767,1034,2519,53,0.081,Swipe ,Bills,11166448,554.18,0
708121908,Blue,405,Female,0,71,01-01-2023,Week-1,Q1,2023,22917,835767,0,2045,45,0,Swipe ,Grocery,7032033,265.85,0
708123033,Silver,355,Female,0,78,01-01-2023,Week-1,Q1,2023,11463,835767,0,14511,105,0,Swipe ,Fuel,7705253,3047.31,0
708125733,Blue,220,Female,0,69,01-01-2023,Week-1,Q1,2023,1438,835767,0,4311,77,0,Swipe ,Entertainment,7821312,1207.08,0
708128733,Blue,125,Male,1,105,01-01-2023,Week-1,Q1,2023,1814,835767,0,5014,99,0,Swipe ,Entertainment,7821312,1303.64,0
708129933,Blue,350,Female,1,77,01-01-2023,Week-1,Q1,2023,2072,835767,1544,4210,64,0.745,Chip ,Entertainment,7821312,884.1,0
708132783,Blue,250,Female,1,92,01-01-2023,Week-1,Q1,2023,16411,835767,1179,3929,71,0.072,Swipe ,Food,6808437,785.8,1
708134283,Blue,125,Male,1,101,01-01-2023,Week-1,Q1,2023,3131,835767,629,1483,31,0.201,Swipe ,Food,6808437,311.43,0
708136908,Blue,110,Male,1,73,01-01-2023,Week-1,Q1,2023,2616,835767,801,4655,68,0.306,Swipe ,Entertainment,7821312,605.15,0
708139833,Blue,460,Female,0,111,01-01-2023,Week-1,Q1,2023,6391,835767,0,2323,44,0,Swipe ,Grocery,7032033,441.37,0
708145908,Blue,320,Male,0,78,01-01-2023,Week-1,Q1,2023,4906,835767,2185,3999,71,0.445,Swipe ,Bills,11166448,959.76,0
708147108,Blue,320,Female,0,112,01-01-2023,Week-1,Q1,2023,21084,835767,2517,2309,71,0.119,Swipe ,Travel,4999538,277.08,0
708148158,Blue,175,Male,0,73,01-01-2023,Week-1,Q1,2023,1827,835767,0,4207,86,0,Swipe ,Fuel,7705253,925.54,0
708151008,Blue,440,Female,1,86,01-01-2023,Week-1,Q1,2023,6250,835767,644,2433,41,0.103,Swipe ,Fuel,7705253,486.6,0
708152358,Blue,335,Male,1,101,01-01-2023,Week-1,Q1,2023,18512,835767,1664,8019,57,0.09,Swipe ,Food,6808437,721.71,0
708153558,Blue,375,Male,0,150,01-01-2023,Week-1,Q1,2023,34516,835767,1802,7936,101,0.052,Swipe ,Fuel,7705253,634.88,0
708154833,Blue,250,Female,0,82,01-01-2023,Week-1,Q1,2023,1438,835767,811,2336,46,0.564,Chip ,Fuel,7705253,630.72,0
708155733,Blue,335,Female,0,88,01-01-2023,Week-1,Q1,2023,14734,835767,1634,1289,23,0.111,Swipe ,Bills,11166448,296.47,0
708158133,Blue,110,Female,1,131,01-01-2023,Week-1,Q1,2023,3031,835767,2517,2188,50,0.83,Swipe ,Bills,11166448,350.08,1
708160008,Blue,375,Male,1,96,01-01-2023,Week-1,Q1,2023,34516,835767,1058,7412,84,0.031,Swipe ,Bills,11166448,1927.12,0
708161133,Blue,150,Female,1,99,01-01-2023,Week-1,Q1,2023,6629,835767,1389,3891,69,0.21,Swipe ,Fuel,7705253,466.92,0
708162558,Blue,420,Female,0,88,01-01-2023,Week-1,Q1,2023,3250,835767,1992,1355,36,0.613,Swipe ,Entertainment,7821312,189.7,1
708163758,Platinum,470,Male,0,158,01-01-2023,Week-1,Q1,2023,34516,835767,638,13085,139,0.018,Swipe ,Bills,11166448,2355.3,0
708170508,Blue,250,Female,0,72,01-01-2023,Week-1,Q1,2023,1438,835767,0,1651,42,0,Swipe ,Entertainment,7821312,462.28,0
708171858,Blue,100,Female,1,104,01-01-2023,Week-1,Q1,2023,1864,835767,1081,2607,44,0.58,Swipe ,Fuel,7705253,312.84,0
708173433,Blue,285,Female,0,40,01-01-2023,Week-1,Q1,2023,5645,835767,2324,2482,57,0.412,Swipe ,Food,6808437,496.4,0
708174708,Blue,175,Female,1,69,01-01-2023,Week-1,Q1,2023,5535,835767,1276,1764,38,0.231,Swipe ,Fuel,7705253,194.04,0
708176208,Blue,465,Female,1,89,01-01-2023,Week-1,Q1,2023,7268,835767,0,4199,80,0,Swipe ,Food,6808437,587.86,0
708177333,Silver,460,Female,1,107,01-01-2023,Week-1,Q1,2023,11261,835767,2485,1158,26,0.221,Swipe ,Bills,11166448,243.18,0
708178608,Blue,300,Female,0,111,01-01-2023,Week-1,Q1,2023,2488,835767,0,4226,73,0,Chip ,Grocery,7032033,253.56,0
708185208,Blue,110,Female,1,74,01-01-2023,Week-1,Q1,2023,3178,835767,1118,2010,31,0.352,Swipe ,Bills,11166448,180.9,0
708186933,Blue,195,Female,1,102,01-01-2023,Week-1,Q1,2023,1819,835767,725,2254,45,0.399,Swipe ,Bills,11166448,270.48,0
708190158,Blue,175,Female,0,113,01-01-2023,Week-1,Q1,2023,2920,835767,2426,2750,41,0.831,Swipe ,Food,6808437,632.5,0
708193008,Blue,340,Female,0,148,01-01-2023,Week-1,Q1,2023,14480,835767,0,1616,43,0,Online ,Entertainment,7821312,387.84,0
708195633,Silver,110,Female,1,70,01-01-2023,Week-1,Q1,2023,34516,835767,1182,2440,54,0.034,Online ,Entertainment,7821312,488,0
708197358,Blue,225,Male,0,111,01-01-2023,Week-1,Q1,2023,30543,835767,264,7784,63,0.009,Online ,Food,6808437,622.72,1
708204033,Blue,295,Male,0,86,01-01-2023,Week-1,Q1,2023,2980,835767,2093,4132,70,0.702,Chip ,Travel,4999538,826.4,1
708205083,Blue,125,Male,1,151,01-01-2023,Week-1,Q1,2023,1438,835767,0,4815,81,0,Chip ,Travel,4999538,337.05,1
708207783,Blue,355,Male,1,107,01-01-2023,Week-1,Q1,2023,1477,835767,0,4680,80,0,Swipe ,Entertainment,7821312,514.8,1
708208758,Blue,275,Female,1,85,01-01-2023,Week-1,Q1,2023,1826,835767,883,2199,48,0.484,Swipe ,Fuel,7705253,571.74,1
708211383,Blue,200,Female,0,111,01-01-2023,Week-1,Q1,2023,2664,835767,0,3906,74,0,Online ,Fuel,7705253,1054.62,1
708212658,Blue,190,Female,1,70,01-01-2023,Week-1,Q1,2023,2193,835767,1260,1799,47,0.575,Swipe ,Bills,11166448,521.71,1
