Client_Num,Customer_Age,Age_Group,Gender,Dependent_Count,Education_Level,Marital_Status,state_cd,Zipcode,Car_Owner,House_Owner,Personal_loan,contact,Customer_Job,Income,Income Group,Cust_Satisfaction_Score,Cust Satisfaction Score
708082083,24,18-25,Female,1,Uneducated,Single,FL,91750,no,yes,no,unknown,Businessman,202326,High,3,Satisfied
708083283,62,60+,Female,0,Unknown,Married,NJ,91750,no,no,no,cellular,Selfemployeed,5225,Low,2,Neutral
708084558,32,26-35,Female,1,Unknown,Married,NJ,91750,yes,no,no,unknown,Selfemployeed,14235,Low,2,Neutral
708085458,38,36-45,Male,2,Uneducated,Single,NY,91750,no,no,no,cellular,Blue-collar,45683,Medium,1,Unsatisfied
708086958,48,46-60,Male,4,Graduate,Single,TX,91750,yes,yes,no,cellular,Businessman,59279,Medium,1,Unsatisfied
708095133,33,26-35,Female,1,High School,Single,NY,91750,no,yes,no,cellular,Selfemployeed,14254,Low,3,Satisfied
708098133,34,26-35,Female,3,Graduate,Single,CA,91750,yes,no,no,telephone,Selfemployeed,14975,Low,2,Neutral
708099183,34,26-35,Female,2,Uneducated,Single,CA,91750,no,no,no,cellular,Retirees,31982,Medium,2,Neutral
708100533,48,46-60,Male,2,High School,Married,NJ,91750,yes,no,no,telephone,Businessman,86668,High,2,Neutral
708103608,53,46-60,Female,1,Graduate,Married,NJ,91750,yes,yes,no,cellular,Businessman,223196,High,1,Unsatisfied
708104658,31,26-35,Female,0,Post-Graduate,Single,CA,91750,no,yes,no,telephone,Businessman,33625,Medium,2,Neutral
708108333,34,26-35,Female,4,Graduate,Single,NY,91750,no,no,no,cellular,Selfemployeed,14975,Low,3,Satisfied
708112008,51,46-60,Female,2,Graduate,Single,NJ,91750,yes,yes,no,cellular,Selfemployeed,14975,Low,2,Neutral
708113208,36,36-45,Male,1,High School,Single,NJ,91750,yes,no,no,telephone,White-collar,59416,Medium,3,Satisfied
708117933,49,46-60,Female,4,Graduate,Married,CA,91750,no,yes,no,unknown,Retirees,28122,Low,1,Unsatisfied
708119658,53,46-60,Female,2,Graduate,Single,FL,91750,yes,no,no,cellular,Govt,29021,Low,1,Unsatisfied
708121908,49,46-60,Female,1,Graduate,Married,TX,91750,no,no,no,unknown,Selfemployeed,20632,Low,3,Satisfied
708123033,47,46-60,Female,5,Graduate,Married,FL,91750,no,no,no,cellular,Businessman,172101,High,2,Neutral
708125733,43,36-45,Female,4,Graduate,Single,FL,91750,no,no,no,cellular,Retirees,57168,Medium,2,Neutral
708128733,47,46-60,Male,3,Graduate,Married,NY,91750,no,no,no,cellular,Govt,89954,High,2,Neutral
708129933,34,26-35,Female,3,Uneducated,Single,TX,91750,yes,yes,yes,telephone,Blue-collar,53762,Medium,1,Unsatisfied
708132783,37,36-45,Female,5,Unknown,Married,NJ,91750,yes,yes,no,cellular,Selfemployeed,45476,Medium,3,Satisfied
708134283,63,60+,Male,0,Graduate,Single,TX,91750,yes,yes,yes,cellular,Selfemployeed,14975,Low,2,Neutral
708136908,55,46-60,Male,2,Doctorate,Married,MO,91750,yes,yes,no,cellular,Retirees,72878,High,2,Neutral
708139833,38,36-45,Female,1,Unknown,Single,NY,91750,no,no,no,cellular,Businessman,25667,Low,3,Satisfied
708145908,40,36-45,Male,3,Graduate,Single,MA,91750,no,yes,no,cellular,Blue-collar,47224,Medium,1,Unsatisfied
708147108,55,46-60,Female,0,Graduate,Single,NY,91750,yes,no,no,unknown,White-collar,25341,Low,2,Neutral
